Id,Status__c,Tenancy__c,Parent_Tenancy
a24Nz0000013x9RIAQ,Complete,8008d000000YercAAC,
a24Nz0000013xZFIAY,Complete,800Nz0000014QszIAE,
a24Nz0000013xfhIAA,Complete,800Nz000000fShtIAE,
a24Nz0000014045IAA,Complete,8008d000000YaYBAA0,
a24Nz00000140AXIAY,Complete,8008d000000YdELAA0,
a24Nz00000145dFIAQ,Complete,800Nz000006wiv0IAA,
a24Nz0000014AhlIAE,Complete,8008d000000YkrDAAS,
a24Nz0000014BXNIA2,Complete,8008d000000YgLsAAK,
a24Nz0000014C3dIAE,Complete,8008d000000YVCPAA4,
a24Nz0000014DnhIAE,Closed - Tenant Retained,8008d000000YaUsAAK,800Pv00000G53DSIAZ
a24Nz0000014FBBIA2,Complete,800Nz000002LlnmIAC,
a24Nz0000014VFyIAM,Complete,8008d000000YnTIAA0,
a24Nz0000014WiHIAU,Active,800Nz0000072tR0IAI,
a24Nz0000014X4rIAE,Complete,8008d000000YbobAAC,
a24Nz0000014lJ8IAI,Complete,800Nz0000029h4nIAA,
a24Nz0000014r5BIAQ,Complete,800Nz000003H9jbIAC,
a24Nz0000014t3lIAA,Closed - Tenant Retained,8008d000000YCkrAAG,
a24Nz0000014wUfIAI,Active,800Nz0000079CNqIAM,
a24Nz0000014yQ1IAI,Complete,800Nz000004hv3zIAA,
a24Nz0000015DLqIAM,Complete,8008d000000YgFQAA0,
a24Nz0000015DvJIAU,Complete,800Nz0000014OPpIAM,
a24Nz0000015DyYIAU,Active,8008d000000YBSVAA4,
a24Nz0000015G3ZIAU,Cancelled,800Nz000009SIUgIAO,800Pv00000GF1rcIAD
a24Nz0000015GRlIAM,Active,8008d000000YmxBAAS,
a24Nz0000015GoLIAU,Complete,800Nz000007HKj9IAG,
a24Nz0000015K5ZIAU,Closed - Tenant Retained,800Nz000000z900IAA,
a24Nz0000015MtlIAE,Active,800Pv00000G4zX3IAJ,
a24Nz0000015NxtIAE,Active,8008d000000Y7r3AAC,
a24Nz0000015P8UIAU,Active,8008d000000YXDqAAO,
a24Nz0000015QHRIA2,Complete,8008d000000YkrmAAC,
