product2id,pricebook2id,unitprice,rent_periodicity__c,isactive
01t8d000000oir2AAA,01sPv000002kqTxIAI,2172.94,Monthly,TRUE
01t8d000000oir2AAA,01sPv000002kqTyIAI,2183.72,Monthly,TRUE
01t8d000000oir2AAA,01sPv000002kqTzIAI,2194.2,Monthly,TRUE
01t8d000000oirlAAA,01sPv0000038lL1IAI,2130.52,Monthly,TRUE
01t8d000000oirlAAA,01sPv0000038lL2IAI,2140.75,Monthly,TRUE
01t8d000000oirlAAA,01sPv0000038lKzIAI,2151.37,Monthly,TRUE
01t8d000000oirlAAA,01sPv0000038lL0IAI,2162.04,Monthly,TRUE
01t8d000000oirlAAA,01sPv00000246dZIAQ,2171.73,Monthly,TRUE
01t8d000000oirlAAA,01sPv000002kqTtIAI,2182.5,Monthly,TRUE
01t8d000000oirlAAA,01sPv000002kqTuIAI,2192.98,Monthly,TRUE
01t8d000000oirlAAA,01sPv000002kqTvIAI,2203.86,Monthly,TRUE
01t8d000000oirlAAA,01sPv000002kqTwIAI,2214.44,Monthly,TRUE
01t8d000000oirlAAA,01sPv000002kqTxIAI,2225.42,Monthly,TRUE
01t8d000000oirlAAA,01sPv000002kqTyIAI,2236.46,Monthly,TRUE
01t8d000000oirlAAA,01sPv000002kqTzIAI,2247.2,Monthly,TRUE
01t8d000000oirRAAQ,01sPv0000038lL1IAI,1773.76,Monthly,TRUE
01t8d000000oirRAAQ,01sPv0000038lL2IAI,1782.27,Monthly,TRUE
01t8d000000oirRAAQ,01sPv0000038lKzIAI,1791.11,Monthly,TRUE
01t8d000000oirRAAQ,01sPv0000038lL0IAI,1800,Monthly,TRUE
01t8d000000oirRAAQ,01sPv00000246dZIAQ,1808.06,Monthly,TRUE
01t8d000000oirRAAQ,01sPv000002kqTtIAI,1817.03,Monthly,TRUE
01t8d000000oirRAAQ,01sPv000002kqTuIAI,1825.76,Monthly,TRUE
01t8d000000oirRAAQ,01sPv000002kqTvIAI,1834.81,Monthly,TRUE
01t8d000000oirRAAQ,01sPv000002kqTwIAI,1843.62,Monthly,TRUE
01t8d000000oirRAAQ,01sPv000002kqTxIAI,1852.77,Monthly,TRUE
01t8d000000oirRAAQ,01sPv000002kqTyIAI,1861.96,Monthly,TRUE
01t8d000000oirRAAQ,01sPv000002kqTzIAI,1870.9,Monthly,TRUE
01t8d000000oITqAAM,01sPv0000038lL1IAI,1733.56,Monthly,TRUE
01t8d000000oITqAAM,01sPv0000038lL2IAI,1741.88,Monthly,TRUE
01t8d000000oITqAAM,01sPv0000038lKzIAI,1750.52,Monthly,TRUE
01t8d000000oITqAAM,01sPv0000038lL0IAI,1759.21,Monthly,TRUE
01t8d000000oITqAAM,01sPv00000246dZIAQ,1767.09,Monthly,TRUE
01t8d000000oITqAAM,01sPv000002kqTtIAI,1775.85,Monthly,TRUE
01t8d000000oITqAAM,01sPv000002kqTuIAI,1784.38,Monthly,TRUE
01t8d000000oITqAAM,01sPv000002kqTvIAI,1793.23,Monthly,TRUE
01t8d000000oITqAAM,01sPv000002kqTwIAI,1801.84,Monthly,TRUE
01t8d000000oITqAAM,01sPv000002kqTxIAI,1810.78,Monthly,TRUE
01t8d000000oITqAAM,01sPv000002kqTyIAI,1819.76,Monthly,TRUE
