"PMS_Reference__c","tenancy_status__c","status"
"104152021002","Current","Activated"
"104152092002","Current","Activated"
"104186001001","Current","Activated"
"104186002003","Current","Activated"
"104152046001","Current","Activated"
"104152079003","Current","Activated"
"104152003006","Current","Activated"
"104189007003","Current","Activated"
"104174015002","Current","Activated"
"104399002005","Current","Activated"
"104152053002","Current","Activated"
"104412002001","Current","Activated"
"104440001005","Current","Activated"
"104152012004","Current","Activated"
"104152016004","Current","Activated"
"104696004002","Current","Activated"
"104223019002","Current","Activated"
"104457017005","Current","Activated"
"104223010004","Current","Activated"
"104488002002","Current","Activated"
"104542001001","Current","Activated"
"104152120002","Current","Activated"
"104192001002","Current","Activated"
"104457031004","Current","Activated"
"104708003001","Current","Activated"
"107765001001","Current","Activated"
"104152006003","Current","Activated"
"104113002003","Current","Activated"
"104152037002","Current","Activated"
"104152056003","Current","Activated"
"104152057003","Current","Activated"
"104152098001","Current","Activated"
"104152067005","Current","Activated"
"104723003001","Current","Activated"
"107413005001","Current","Activated"
"107629001001","Current","Activated"
"104113001003","Current","Activated"
"104152080002","Current","Activated"
"104152074005","Current","Activated"
"104152045002","Current","Activated"
"104224001001","Current","Activated"
"104457030005","Current","Activated"
"104152011002","Current","Activated"
"105472001001","Current","Activated"
"104152091004","Current","Activated"
"104165002005","Current","Activated"
"105775001002","Current","Activated"
"115495002004","Current","Activated"
"104152015003","Current","Activated"
"105099023002","Current","Activated"
"104152072003","Current","Activated"
"104434001003","Current","Activated"
"104152097002","Current","Activated"
"104152096003","Current","Activated"
"104126001002","Current","Activated"
"104457012001","Current","Activated"
"105099015003","Current","Activated"
"104124001002","Current","Activated"
"107847001006","Current","Activated"
"107938001005","Current","Activated"
"108619011002","Current","Activated"
"104152117003","Current","Activated"
"104233002002","Current","Activated"
"104235002001","Current","Activated"
"104381002006","Current","Activated"
"104152034001","Current","Activated"
"104152105003","Current","Activated"
"104223023002","Current","Activated"
"104152083004","Current","Activated"
"104226005004","Current","Activated"
"104417001005","Current","Activated"
"104455035002","Current","Activated"
"104152078006","Current","Activated"
"104165004002","Current","Activated"
"104174013001","Current","Activated"
"107684001002","Current","Activated"
"104457007006","Current","Activated"
"105234003003","Current","Activated"
"115472001003","Current","Activated"
"104152081002","Current","Activated"
"104722028003","Current","Activated"
"104993001002","Current","Activated"
"104196005001","Current","Activated"
"104152050004","Current","Activated"
"104463002006","Current","Activated"
"104152115004","Current","Activated"
"104174052004","Current","Activated"
"109944033001","Current","Activated"
"110452001001","Current","Activated"
"104722025002","Current","Activated"
"107694004001","Current","Activated"
"104152055005","Current","Activated"
"104122019002","Current","Activated"
"104239001001","Current","Activated"
"104200005004","Current","Activated"
"104152060003","Current","Activated"
"104152122002","Current","Activated"
"104152068004","Current","Activated"
"104457006003","Current","Activated"
"104808002003","Current","Activated"
